Date,Value,Category
2024-01-01,50.0,A
2024-01-02,50.5,B
2024-01-03,51.0,C
2024-01-04,53.5,A
2024-01-05,54.0,B
2024-01-06,54.5,C
2024-01-07,57.0,A
2024-01-08,57.5,B
2024-01-09,58.0,C
2024-01-10,60.5,A
2024-01-11,61.0,B
2024-01-12,61.5,C
2024-01-13,64.0,A
2024-01-14,64.5,B
2024-01-15,65.0,C
2024-01-16,67.5,A
2024-01-17,68.0,B
2024-01-18,68.5,C
2024-01-19,71.0,A
2024-01-20,71.5,B
2024-01-21,72.0,C
2024-01-22,74.5,A
2024-01-23,75.0,B
2024-01-24,75.5,C
2024-01-25,78.0,A
2024-01-26,78.5,B
2024-01-27,79.0,C
2024-01-28,81.5,A
2024-01-29,82.0,B
2024-01-30,82.5,C
2024-01-31,85.0,A
2024-02-01,85.5,B
2024-02-02,86.0,C
2024-02-03,88.5,A
2024-02-04,89.0,B
2024-02-05,89.5,C
2024-02-06,92.0,A
2024-02-07,92.5,B
2024-02-08,93.0,C
2024-02-09,95.5,A
2024-02-10,96.0,B
2024-02-11,96.5,C
2024-02-12,99.0,A
2024-02-13,99.5,B
2024-02-14,100.0,C
2024-02-15,102.5,A
2024-02-16,103.0,B
2024-02-17,103.5,C
2024-02-18,106.0,A
2024-02-19,106.5,B
2024-02-20,107.0,C
2024-02-21,109.5,A
2024-02-22,110.0,B
2024-02-23,110.5,C
2024-02-24,113.0,A
2024-02-25,113.5,B
2024-02-26,114.0,C
2024-02-27,116.5,A
2024-02-28,117.0,B
2024-02-29,117.5,C
2024-03-01,120.0,A
2024-03-02,120.5,B
2024-03-03,121.0,C
2024-03-04,123.5,A
2024-03-05,124.0,B
2024-03-06,124.5,C
2024-03-07,127.0,A
2024-03-08,127.5,B
2024-03-09,128.0,C
2024-03-10,130.5,A
2024-03-11,131.0,B
2024-03-12,131.5,C
2024-03-13,134.0,A
2024-03-14,134.5,B
2024-03-15,135.0,C
2024-03-16,137.5,A
2024-03-17,138.0,B
2024-03-18,138.5,C
2024-03-19,141.0,A
2024-03-20,141.5,B
2024-03-21,142.0,C
2024-03-22,144.5,A
2024-03-23,145.0,B
2024-03-24,145.5,C
2024-03-25,148.0,A
2024-03-26,148.5,B
2024-03-27,149.0,C
2024-03-28,151.5,A
2024-03-29,152.0,B
2024-03-30,152.5,C
2024-03-31,155.0,A
2024-04-01,155.5,B
2024-04-02,156.0,C
2024-04-03,158.5,A
2024-04-04,159.0,B
2024-04-05,159.5,C
2024-04-06,162.0,A
2024-04-07,162.5,B
2024-04-08,163.0,C
2024-04-09,165.5,A
